Date,Team1,Team1_Position,Team1_Points,Team1_Win_Percentage,Team1_Rating,Team1_Kills_Per_Round,Team1_Deaths_Per_Round,Team1_Headshots,Team1_Rounds_Contributed,Team2,Team2_Position,Team2_Points,Team2_Win_Percentage,Team2_Rating,Team2_Kills_Per_Round,Team2_Deaths_Per_Round,Team2_Headshots,Team2_Rounds_Contributed,Score
24/01/2024,Spirit,3,634,71.4,1.19,0.72,0.6,46.4,76.28,Liquid,24,72,77.8,1.16,0.71,0.61,49.72,76.5,0
20/01/2024,Spirit,3,634,71.4,1.19,0.72,0.6,46.4,76.28,MOUZ,4,506,56.2,1.07,0.67,0.65,49.1,71.96,1
19/01/2024,Spirit,3,634,71.4,1.19,0.72,0.6,46.4,76.28,Preasy,28,41,70.0,1.07,0.68,0.67,53.96,72.3,1
10/12/2023,Spirit,3,634,71.4,1.19,0.72,0.6,46.4,76.28,Virtus.pro,8,352,76.0,1.13,0.67,0.6,48.46,75.1,1
09/12/2023,Spirit,3,634,71.4,1.19,0.72,0.6,46.4,76.28,MIBR,20,109,65.0,1.07,0.66,0.64,50.02,72.48,1
08/12/2023,Spirit,3,634,71.4,1.19,0.72,0.6,46.4,76.28,FURIA,14,190,42.9,1.01,0.64,0.67,49.46,70.22,1
10/02/2024,MOUZ,4,506,56.2,1.07,0.67,0.65,49.1,71.96,FaZe,1,975,72.7,1.08,0.68,0.65,52.64,73.0,0
06/02/2024,MOUZ,4,506,56.2,1.07,0.67,0.65,49.1,71.96,ENCE,13,220,46.2,1.04,0.66,0.67,48.64,71.58,1
05/02/2024,MOUZ,4,506,56.2,1.07,0.67,0.65,49.1,71.96,GamerLegion,17,176,31.6,0.96,0.61,0.68,49.28,68.8,1
04/02/2024,MOUZ,4,506,56.2,1.07,0.67,0.65,49.1,71.96,Cloud9,11,263,47.6,1.07,0.67,0.67,46.68,73.76,1
20/01/2024,MOUZ,4,506,56.2,1.07,0.67,0.65,49.1,71.96,Preasy,28,41,70.0,1.07,0.68,0.67,53.96,72.3,1
20/01/2024,MOUZ,4,506,56.2,1.07,0.67,0.65,49.1,71.96,Spirit,3,634,71.4,1.19,0.72,0.6,46.4,76.28,0
19/01/2024,MOUZ,4,506,56.2,1.07,0.67,0.65,49.1,71.96,Eternal_Fire,16,189,65.0,1.09,0.68,0.64,50.0,72.58,0
18/01/2024,MOUZ,4,506,56.2,1.07,0.67,0.65,49.1,71.96,Heroic,15,190,56.5,1.1,0.69,0.65,51.2,73.28,1
16/12/2023,MOUZ,4,506,56.2,1.07,0.67,0.65,49.1,71.96,FaZe,1,975,72.7,1.08,0.68,0.65,52.64,73.0,0
15/12/2023,MOUZ,4,506,56.2,1.07,0.67,0.65,49.1,71.96,Cloud9,11,263,47.6,1.07,0.67,0.67,46.68,73.76,1
